district,latitude,longitude,elevation,terrain_risk
Adilabad,19.663259,78.555315,256,1
Agra,27.17568,78.008109,170,1
Ahmadabad,23.026157,72.589687,51,2
Ahmadnagar,19.093412,74.746855,657,0
Aizawl,23.748659,92.728016,937,0
Ajmer,26.460578,74.641756,488,0
Akola,20.710576,77.00373,286,1
Alappuzha,9.501632,76.329606,9,2
Aligarh,27.875204,78.068216,189,1
Allahabad,25.45399,81.851869,96,2
Almora,29.603844,79.665557,1488,0
Alwar,27.566581,76.610602,277,1
Ambala,30.376076,76.78821,275,1
Ambedkar Nagar,26.413411,82.54027,90,2
Amravati,20.937346,77.760249,346,0
Amreli,21.598002,71.216081,120,1
Amritsar,31.623088,74.87248,233,1
Anand,22.566883,72.953775,39,2
Anantapur,14.679395,77.598252,349,0
Anantanag,33.738528,75.16328,1630,0
Andamans,11.660569,92.741136,30,2
Anjaw,27.894204,96.790213,1415,0
Anugul,20.836481,85.099192,130,1
Anuppur,23.097789,81.701139,497,0
Araria,26.137794,87.464469,53,2
Ashok Nagar,24.568718,77.728572,491,0
Auraiya,26.460045,79.519467,139,1
Aurangabad,24.749745,84.379225,114,1
Aurangabad,19.885543,75.333441,578,0
Azamgarh,26.053641,83.181213,78,2
Bagalkot,16.202963,75.707787,525,0
Bageshwar,29.842812,79.770905,1019,0
Baghpat,28.934887,77.226645,220,1
Bahraich,27.577746,81.598143,123,1
Balaghat,21.815447,80.1932,308,0
Balangir,20.705399,83.496116,180,1
Baleshwar,21.492432,86.922744,19,2
Ballia,25.760427,84.155791,63,2
Balrampur,27.424362,82.195912,105,1
Banas Kantha,24.185024,72.444088,219,1
Banda,25.467372,80.325071,116,1
Bangalore,12.97708,77.596173,918,0
Bangalore,12.97708,77.596173,918,0
Banka,24.880617,86.919712,85,2
Bankura,23.249965,87.061434,89,2
Banswara,23.545683,74.448134,232,1
Barabanki,26.931977,81.203728,122,1
Baramula,34.200628,74.328035,1689,0
Baran,25.113409,76.513669,259,1
Barddhaman,23.262279,87.856827,33,2
Bareilly,28.361856,79.419697,176,1
Bargarh,21.339228,83.63098,178,1
Barmer,25.743971,71.393059,207,1
Barpeta,26.318438,91.012313,43,2
Barwani,22.02929,74.891275,183,1
Baster,19.086747,82.039276,548,0
Basti,26.801568,82.758574,88,2
Bathinda,30.293282,74.951926,208,1
Baudh,20.832374,83.922946,109,1
Baudh,20.826237,84.307596,96,2
Begusarai,25.409515,86.135757,46,2
Belgaum,15.858948,74.509438,765,0
Bellary,15.143301,76.923557,462,0
Betul,21.903513,77.902064,647,0
Bhadrak,21.068425,86.503508,18,2
Bhagalpur,25.239305,86.974522,45,2
Bhandara,21.169245,79.657152,255,1
Bharatpur,27.213921,77.500799,179,1
Bharuch,21.69417,72.978556,14,2
Bhavnagar,21.77414,72.139722,19,2
Bhilwara,25.347483,74.637973,419,0
Bhind,26.564114,78.789336,152,1
Bhiwani,28.791052,76.143875,217,1
Bhojpur,25.565465,84.677244,60,2
Bhopal,23.266323,77.414303,495,0
Bid,18.987824,75.763809,513,0
Bidar,17.915869,77.531757,661,0
Bijapur,16.823754,75.719178,604,0
Bijnor,29.379583,78.13407,234,1
Bikaner,28.016543,73.317199,227,1
Bilaspur,31.323902,76.761527,602,0
Bilaspur,22.074605,82.176189,266,1
Birbhum,23.908735,87.534251,72,2
Bishnupur,24.632371,93.764667,809,0
Bokaro,23.640657,86.162947,209,1
