district,latitude,longitude,elevation,terrain_risk,cluster
Adilabad,19.663259,78.555315,256,1,0
Agra,27.17568,78.008109,170,1,2
Ahmadabad,23.026157,72.589687,51,2,13
Ahmadnagar,19.093412,74.746855,657,0,0
Aizawl,23.748659,92.728016,937,0,17
Ajmer,26.460578,74.641756,488,0,2
Akola,20.710576,77.00373,286,1,0
Alappuzha,9.501632,76.329606,9,2,3
Aligarh,27.875204,78.068216,189,1,2
Allahabad,25.45399,81.851869,96,2,19
Almora,29.603844,79.665557,1488,0,23
Alwar,27.566581,76.610602,277,1,2
Ambala,30.376076,76.78821,275,1,18
Ambedkar Nagar,26.413411,82.54027,90,2,19
Amravati,20.937346,77.760249,346,0,0
Amreli,21.598002,71.216081,120,1,24
Amritsar,31.623088,74.87248,233,1,18
Anand,22.566883,72.953775,39,2,13
Anantapur,14.679395,77.598252,349,0,10
Anantanag,33.738528,75.16328,1630,0,11
Andamans,11.660569,92.741136,30,2,9
Anjaw,27.894204,96.790213,1415,0,5
Anugul,20.836481,85.099192,130,1,8
Anuppur,23.097789,81.701139,497,0,6
Araria,26.137794,87.464469,53,2,20
Ashok Nagar,24.568718,77.728572,491,0,7
Auraiya,26.460045,79.519467,139,1,15
Aurangabad,24.749745,84.379225,114,1,4
Aurangabad,19.885543,75.333441,578,0,0
Azamgarh,26.053641,83.181213,78,2,19
Bagalkot,16.202963,75.707787,525,0,12
Bageshwar,29.842812,79.770905,1019,0,23
Baghpat,28.934887,77.226645,220,1,2
Bahraich,27.577746,81.598143,123,1,19
Balaghat,21.815447,80.1932,308,0,6
Balangir,20.705399,83.496116,180,1,8
Baleshwar,21.492432,86.922744,19,2,14
Ballia,25.760427,84.155791,63,2,16
Balrampur,27.424362,82.195912,105,1,19
Banas Kantha,24.185024,72.444088,219,1,13
Banda,25.467372,80.325071,116,1,15
Bangalore,12.97708,77.596173,918,0,10
Bangalore,12.97708,77.596173,918,0,10
Banka,24.880617,86.919712,85,2,16
Bankura,23.249965,87.061434,89,2,14
Banswara,23.545683,74.448134,232,1,7
Barabanki,26.931977,81.203728,122,1,19
Baramula,34.200628,74.328035,1689,0,11
Baran,25.113409,76.513669,259,1,7
Barddhaman,23.262279,87.856827,33,2,14
Bareilly,28.361856,79.419697,176,1,23
Bargarh,21.339228,83.63098,178,1,8
Barmer,25.743971,71.393059,207,1,13
Barpeta,26.318438,91.012313,43,2,20
Barwani,22.02929,74.891275,183,1,7
Baster,19.086747,82.039276,548,0,21
Basti,26.801568,82.758574,88,2,19
Bathinda,30.293282,74.951926,208,1,18
Baudh,20.832374,83.922946,109,1,8
Baudh,20.826237,84.307596,96,2,8
Begusarai,25.409515,86.135757,46,2,16
Belgaum,15.858948,74.509438,765,0,12
Bellary,15.143301,76.923557,462,0,12
Betul,21.903513,77.902064,647,0,7
Bhadrak,21.068425,86.503508,18,2,8
Bhagalpur,25.239305,86.974522,45,2,16
Bhandara,21.169245,79.657152,255,1,6
Bharatpur,27.213921,77.500799,179,1,2
Bharuch,21.69417,72.978556,14,2,24
Bhavnagar,21.77414,72.139722,19,2,24
Bhilwara,25.347483,74.637973,419,0,7
Bhind,26.564114,78.789336,152,1,15
Bhiwani,28.791052,76.143875,217,1,2
Bhojpur,25.565465,84.677244,60,2,16
Bhopal,23.266323,77.414303,495,0,7
Bid,18.987824,75.763809,513,0,0
Bidar,17.915869,77.531757,661,0,0
Bijapur,16.823754,75.719178,604,0,12
Bijnor,29.379583,78.13407,234,1,23
Bikaner,28.016543,73.317199,227,1,2
Bilaspur,31.323902,76.761527,602,0,18
Bilaspur,22.074605,82.176189,266,1,6
Birbhum,23.908735,87.534251,72,2,14
Bishnupur,24.632371,93.764667,809,0,17
Bokaro,23.640657,86.162947,209,1,14
Bongaigaon,26.502443,90.564968,61,2,20
Budaun,28.034404,79.124138,171,1,23
Bulandshahr,28.400237,77.861025,202,1,2
Buldana,20.532223,76.181689,649,0,0
Bundi,25.442985,75.643423,310,0,7
Burhanpur,21.33186,76.20459,260,1,7
Buxar,25.571102,83.98059,64,2,19
Cachar,24.820025,92.795038,24,2,17
Chamba,32.558843,76.126097,1009,0,11
Chamoli,30.401381,79.331112,1248,0,23
Champawat,29.333337,80.103959,1621,0,23
Champhai,23.489023,93.345186,1348,0,17
Chamarajanagar,11.936475,76.939171,703,0,22
Chandauli,25.258531,83.270958,77,2,19
Chandel,24.320947,93.989857,941,0,17
Chandigarh,30.731928,76.785486,346,0,18
Chandrapur,19.951685,79.295823,186,1,0
Changlang,27.087745,95.731123,772,0,5
Chatra,24.208676,84.866295,430,0,4
Chennai,13.074737,80.267689,8,2,10
Chhatarpur,24.915425,79.592243,305,0,15
Chhindwara,22.057572,78.940098,678,0,6
Chikmagalur,13.318348,75.772746,1031,0,22
Chitradurga,14.227245,76.402839,738,0,12
Chitrakoot,25.210734,80.914156,138,1,15
Chittaurgarh,24.876434,74.619443,404,0,7
Chittoor,13.215319,79.100032,311,0,10
Churachandpur,24.334438,93.658102,1072,0,17
Churu,28.300078,74.966601,292,1,2
Coimbatore,10.994743,76.96688,415,0,3
Cuddalore,11.75553,79.762325,8,2,10
Cuddapah,14.482391,78.82537,130,1,10
Cuttack,20.478116,85.85389,27,2,8
Dadra & Nagar Haveli,20.284446,72.998942,37,2,24
Dakshin Dinajpur,25.230003,88.789755,27,2,20
Dakshina Kannada,12.863889,74.841219,21,2,22
Daman,20.424388,72.846682,10,2,24
Damoh,23.824248,79.455215,380,0,15
Dantewada,18.87715,81.367201,380,0,21
Darbhanga,26.164221,85.910612,54,2,16
Darjiling,27.041527,88.272768,1782,0,1
Darrang,26.441811,92.033565,59,2,17
Datia,25.673026,78.458158,243,1,15
Dausa,26.899411,76.334441,336,0,2
Davangere,14.492934,75.936375,578,0,12
Debagarh,21.546245,84.744026,311,0,8
Dehradun,30.325264,78.041576,670,0,23
Deoghar,24.481265,86.700615,253,1,14
Deoria,26.500556,83.783389,79,2,19
Dewas,22.962736,76.071156,548,0,7
Dhalai,23.938769,91.868389,94,2,17
Dhamtari,20.703812,81.567596,325,0,6
Dhanbad,23.797727,86.436225,239,1,14
Dhar,22.598554,75.314536,570,0,7
Dharmapuri,12.134803,78.161203,455,0,10
Dharwad,15.452454,75.012073,723,0,12
Dhaulpur,26.693948,77.894554,175,1,15
Dhemaji,27.4844,94.594933,100,1,5
Dhenkanal,20.654734,85.588016,86,2,8
Dhubri,26.019042,89.991086,29,2,20
Dhule,20.90441,74.781243,261,1,24
Dibang Valley,28.850861,95.871559,1775,0,5
Dibrugarh,27.480193,94.912419,107,1,5
Dimapur,25.91789,93.746839,145,1,17
Dindigul,10.361936,77.968908,277,1,3
Dindori,22.939702,81.083584,682,0,6
Diu,20.713309,70.979548,3,2,24
Dohad,22.823003,74.263925,299,1,7
Dumka,24.271014,87.249367,148,1,14
Dungarpur,23.837104,73.716702,314,0,13
Durg,21.188278,81.275855,291,1,6
East Sikkim,27.328923,88.616469,1545,0,1
East Garo Hills,25.528369,90.593784,267,1,20
East Godavari,16.969397,82.236435,8,2,21
East Kameng,27.333113,93.063248,773,0,5
East Khasi Hills,25.588025,91.887356,1444,0,17
East Nimar,21.827574,76.356018,313,0,7
East Siang,28.065355,95.333325,161,1,5
Ernakulam,9.956764,76.292401,4,2,3
Erode,11.334348,77.72772,170,1,3
Etah,27.55673,78.657582,170,1,23
Etawah,26.77697,79.025561,149,1,15
Faizabad,26.781125,82.149876,102,1,19
Faridabad,28.427902,77.329409,204,1,2
Faridkot,30.67333,74.758547,203,1,18
Farrukhabad,27.367541,79.635106,147,1,15
Fatehabad,29.516385,75.4548,212,1,18
Fatehgarh Sahib,30.647528,76.406922,268,1,18
Fatehpur,25.927961,80.817369,117,1,15
Firozabad,27.142217,78.398303,163,1,15
Firozpur,30.939516,74.619239,197,1,18
Gadag,15.441432,75.646857,647,0,12
Gadchiroli,20.184794,80.007887,210,1,6
Gajapati,18.776646,84.080324,60,2,8
Gandhinagar,23.235737,72.671374,79,2,13
Ganganagar,29.928315,73.867201,177,1,18
Ganjam,19.350441,84.985993,23,2,8
Garwah,24.17351,83.81231,211,1,4
Garhwal,30.152136,78.780959,1391,0,23
Gautam Buddha Nagar,28.567013,77.327519,201,1,2
Gaya,24.79151,85.004475,119,1,16
Ghaziabad,28.660255,77.445653,215,1,2
Ghazipur,25.586118,83.581496,71,2,19
Giridih,24.189967,86.313267,296,1,14
Goalpara,26.176465,90.631164,40,2,20
