district,latitude,longitude,elevation,rainfall_mm,readiness_score,status
Adilabad,19.663259,78.555315,256,23.171029208479105,67,Moderate Preparedness
Agra,27.17568,78.008109,170,-1.9288539761238295,74,Well Prepared
Ahmadabad,23.026157,72.589687,51,34.67531100121705,82,Well Prepared
Ahmadnagar,19.093412,74.746855,657,1.1739607553839018,55,Moderate Preparedness
Aizawl,23.748659,92.728016,937,15.473192385275782,55,Moderate Preparedness
Ajmer,26.460578,74.641756,488,12.543859299454217,54,Moderate Preparedness
Akola,20.710576,77.00373,286,17.620744241494794,69,Moderate Preparedness
Alappuzha,9.501632,76.329606,9,18.117921234076004,78,Well Prepared
Aligarh,27.875204,78.068216,189,3.4534839366552585,68,Moderate Preparedness
Allahabad,25.45399,81.851869,96,10.281046998818645,79,Well Prepared
Almora,29.603844,79.665557,1488,-19.67656078919144,62,Moderate Preparedness
Alwar,27.566581,76.610602,277,-13.59838864995539,62,Moderate Preparedness
Ambala,30.376076,76.78821,275,4.447826321235002,69,Moderate Preparedness
Ambedkar Nagar,26.413411,82.54027,90,2.990272353689034,77,Well Prepared
Amravati,20.937346,77.760249,346,8.789878407787702,53,Moderate Preparedness
Amreli,21.598002,71.216081,120,9.6354072041519,61,Moderate Preparedness
Amritsar,31.623088,74.87248,233,-25.697851695455643,66,Moderate Preparedness
Anand,22.566883,72.953775,39,-27.49787937287118,75,Well Prepared
Anantapur,14.679395,77.598252,349,23.749071292051976,58,Moderate Preparedness
Anantanag,33.738528,75.16328,1630,21.540560893169804,58,Moderate Preparedness
Andamans,11.660569,92.741136,30,26.16692157952154,80,Well Prepared
Anjaw,27.894204,96.790213,1415,2.7310764624333927,60,Moderate Preparedness
Anugul,20.836481,85.099192,130,16.95097743176003,66,Moderate Preparedness
Anuppur,23.097789,81.701139,497,33.64018774218601,53,Moderate Preparedness
Araria,26.137794,87.464469,53,1.0634063587823968,84,Well Prepared
Ashok Nagar,24.568718,77.728572,491,26.84403365541827,57,Moderate Preparedness
Auraiya,26.460045,79.519467,139,13.19615277680164,60,Moderate Preparedness
Aurangabad,24.749745,84.379225,114,-10.82577452226373,69,Moderate Preparedness
Aurangabad,19.885543,75.333441,578,7.15058714067132,64,Moderate Preparedness
Azamgarh,26.053641,83.181213,78,4.86264114292508,73,Well Prepared
Bagalkot,16.202963,75.707787,525,-24.67417687273034,62,Moderate Preparedness
Bageshwar,29.842812,79.770905,1019,-3.7551515041589023,64,Moderate Preparedness
Baghpat,28.934887,77.226645,220,33.87711959955559,66,Moderate Preparedness
Bahraich,27.577746,81.598143,123,8.18734107060197,74,Well Prepared
Balaghat,21.815447,80.1932,308,34.468828516668616,52,Moderate Preparedness
Balangir,20.705399,83.496116,180,2.9840116933626235,73,Well Prepared
Baleshwar,21.492432,86.922744,19,-5.519839049450402,76,Well Prepared
Ballia,25.760427,84.155791,63,35.57073384500334,74,Well Prepared
Balrampur,27.424362,82.195912,105,11.198077632499402,69,Moderate Preparedness
Banas Kantha,24.185024,72.444088,219,20.328662242407596,69,Moderate Preparedness
Banda,25.467372,80.325071,116,-31.898901328548366,72,Well Prepared
Bangalore,12.97708,77.596173,918,18.395299402922834,50,Moderate Preparedness
Bangalore,12.97708,77.596173,918,-9.785229904775955,58,Moderate Preparedness
Banka,24.880617,86.919712,85,-8.140029535665581,82,Well Prepared
Bankura,23.249965,87.061434,89,18.50029374059772,71,Well Prepared
Banswara,23.545683,74.448134,232,-41.947964832624116,63,Moderate Preparedness
Barabanki,26.931977,81.203728,122,10.453681430143053,65,Moderate Preparedness
Baramula,34.200628,74.328035,1689,-26.576773951554973,56,Moderate Preparedness
Baran,25.113409,76.513669,259,-26.57854862211024,73,Well Prepared
Barddhaman,23.262279,87.856827,33,-16.043978547202318,79,Well Prepared
Bareilly,28.361856,79.419697,176,-29.13758978489822,63,Moderate Preparedness
Bargarh,21.339228,83.63098,178,-13.284770943128239,65,Moderate Preparedness
Barmer,25.743971,71.393059,207,56.96323183930525,81,Well Prepared
Barpeta,26.318438,91.012313,43,-16.629546815291345,73,Well Prepared
Barwani,22.02929,74.891275,183,5.507684676211463,71,Well Prepared
Baster,19.086747,82.039276,548,-42.28222123617288,50,Moderate Preparedness
Basti,26.801568,82.758574,88,-35.89515307209052,78,Well Prepared
Bathinda,30.293282,74.951926,208,-5.776924783585786,69,Moderate Preparedness
Baudh,20.832374,83.922946,109,-32.171384586125505,73,Well Prepared
Baudh,20.826237,84.307596,96,21.763919230033018,80,Well Prepared
Begusarai,25.409515,86.135757,46,20.09777796000101,73,Well Prepared
Belgaum,15.858948,74.509438,765,12.445216240538349,64,Moderate Preparedness
Bellary,15.143301,76.923557,462,-2.6083595804818764,64,Moderate Preparedness
Betul,21.903513,77.902064,647,19.896564700824577,64,Moderate Preparedness
Bhadrak,21.068425,86.503508,18,-8.874502078339606,81,Well Prepared
Bhagalpur,25.239305,86.974522,45,7.923388664891139,74,Well Prepared
Bhandara,21.169245,79.657152,255,-34.10265153770165,61,Moderate Preparedness
Bharatpur,27.213921,77.500799,179,-50.793528928175995,69,Moderate Preparedness
Bharuch,21.69417,72.978556,14,-1.7748812815197845,72,Well Prepared
Bhavnagar,21.77414,72.139722,19,1.2698828167891594,73,Well Prepared
Bhilwara,25.347483,74.637973,419,-13.987878013130159,63,Moderate Preparedness
Bhind,26.564114,78.789336,152,22.64223033133351,70,Well Prepared
